symbol,quantity,avg_price,total_value,return,quantity_fixed_4,avg_price_fixed_2
TXG,0.0522585,189.06015289378763,8.8,-1.08,0.0523,189.06
ACCD,0.218979,53.11011558185944,9.85,-1.78,0.2190,53.11
ADPT,0.103214,61.910205979808936,4.3,-2.09,0.1032,61.91
AQB,0.48859,8.330092715773961,3.62,-0.45,0.4886,8.33
ARCT,13.0677516,64.77472375584489,619.8,-226.66,13.0678,64.77
ASML,0.0543891,525.6567952034507,29.6,1.01,0.0544,525.66
BEAM,0.1003835,104.30000946370669,9.08,-1.39,0.1004,104.30
BLI,0.134843,73.27039594194731,6.74,-3.14,0.1348,73.27
BYND,0.1546513,138.95777145099976,21.06,-0.43,0.1547,138.96
BNTX,0.8422755,99.9079279879327,87.98,3.83,0.8423,99.91
AVGO,0.0569846,440.9963393618627,26.12,0.99,0.0570,441.00
BMBL,0.183906,72.70018378954467,12.27,-1.1,0.1839,72.70
BFLY,0.102763,28.220273833967482,1.81,-1.09,0.1028,28.22
GOEV,0.928978,13.186534019104867,14.17,1.92,0.9290,13.19
CDNA,0.068554,84.75070747148234,4.65,-1.16,0.0686,84.75
CSTL,0.13419,90.99038676503464,8.45,-3.76,0.1342,90.99
LEU,2,24.49,51.98,3,2.0000,24.49
CERS,0.38873,7.460190877987292,2.31,-0.59,0.3887,7.46
CHPT,0.319456,28.7050485825904,7.67,-1.5,0.3195,28.71
CIIC,0.72823,20.954918089065263,18.31,3.05,0.7282,20.95
CDXS,0.226334,25.670027481509628,4.7,-1.11,0.2263,25.67
CGEN,0.268461,13.000026074550865,2.34,-1.15,0.2685,13.00
CRSP,0.0391905,148.25021369974866,4.88,-0.93,0.0392,148.25
DNN,20.60208,1.496450843798296,23.49,-7.34,20.6021,1.50
EDIT,0.092321,56.6501662676964,4.05,-1.18,0.0923,56.65
UUUU,6.42379,6.181708928841074,43.04,3.33,6.4238,6.18
EXAS,0.1223445,142.63003240848587,15.77,-1.68,0.1223,142.63
FATE,0.209852,110.84002058593674,18.38,-4.88,0.2099,110.84
FTNT,0.1417378,172.50161918697765,24.52,0.07,0.1417,172.50
FUSE,2.300744,10.387944073743101,23.49,-0.41,2.3007,10.39
GIK,2.691123,11.954117296013598,30.41,-1.76,2.6911,11.95
GH,0.0341463,170.15020661096517,4.81,-1,0.0341,170.15
HYLN,1.006711,15.555606325946574,12.86,-2.8,1.0067,15.56
IBIO,2.91822,1.360418337205557,4.99,1.02,2.9182,1.36
INCY,0.163068,81.99033532023451,13.13,-0.24,0.1631,81.99
INO,0.830327,13.079184465879104,8.32,-2.54,0.8303,13.08
NTLA,0.109724,68.9001494659327,6.93,-0.63,0.1097,68.90
NVTA,0.230753,50.400211481540865,9.2,-2.43,0.2308,50.40
IONS,0.201559,57.70022673261923,10.69,-0.94,0.2016,57.70
IOVA,0.418855,47.2001050482864,13.11,-6.66,0.4189,47.20
RIDE,0.554271,18.925760142601725,7.24,-3.25,0.5543,18.93
MTLS,1.53921,36.2978411003047,58.44,2.57,1.5392,36.30
MSTR,0.0145351,669.4140391190979,10.63,0.9,0.0145,669.41
MRNA,0.576962,135.29487210596193,82.49,4.43,0.5770,135.29
NSTG,0.067658,77.30054095598452,4.45,-0.78,0.0677,77.30
NVS,0.131353,88.54004095833366,11.25,-0.38,0.1314,88.54
NVAX,0.9095415,176.7044164559836,198.73,38.01,0.9095,176.70
OCGN,2.865462,5.41273972574056,25.47,9.96,2.8655,5.41
PACB,0.408473,42.72008186587609,12.96,-4.49,0.4085,42.72
PLTR,3.328446,25.041716164240007,79.25,-4.1,3.3284,25.04
PSTH,0.580054,26.68717050481507,14.98,-0.5,0.5801,26.69
PSNL,0.322328,39.68007743664838,8.03,-4.76,0.3223,39.68
REGN,0.0241466,481.64130767892783,11.54,-0.09,0.0241,481.64
CRM,0.1043453,213.33016436772905,21.95,-0.31,0.1043,213.33
SRPT,0.090364,90.08012040192997,7.7,-0.44,0.0904,90.08
SDGR,0.096315,102.58007579297099,7.41,-2.47,0.0963,102.58
MCRB,0.190339,24.430095776483014,3.77,-0.88,0.1903,24.43
SRAC,0.600746,22.954792874193085,8.04,-5.75,0.6007,22.95
SURF,0.29927,9.690246265913725,2.66,-0.24,0.2993,9.69
SNPS,0.2440968,230.97394148550904,55.88,-0.5,0.2441,230.97
SYRS,0.262919,11.030013045843015,2.3,-0.6,0.2629,11.03
TDOC,0.1517232,211.96494669239775,27.92,-4.24,0.1517,211.96
TSLA,0.0319139,609.7656507039252,20.59,1.13,0.0319,609.77
TSIA,0.950867,17.27896751070339,11.32,-5.11,0.9509,17.28
TWST,0.0773065,150.44013116620206,9.82,-1.81,0.0773,150.44
TWTR,0.390643,66.88971772180737,26.05,-0.08,0.3906,66.89
URG,27.40291,1.1819912556732113,33.41,1.02,27.4029,1.18
UEC,12.94722,2.335636530467544,36.12,5.88,12.9472,2.34
VXRT,0.792456,9.186629920146986,5.33,-1.95,0.7925,9.19
VEEV,0.031384,314.8100943155748,8.06,-1.82,0.0314,314.81
VCYT,0.079349,73.22083454107802,4,-1.81,0.0793,73.22
VRTX,0.102442,210.07008844028815,22.15,0.63,0.1024,210.07
VGAC,0.608932,14.155932025250769,6.4,-2.22,0.6089,14.16
WKHS,0.537764,16.550010785400286,8.35,-0.55,0.5378,16.55
XPEV,0.438198,33.79750706301717,15.29,0.48,0.4382,33.80